ET|TO
M06-24-003-0013-H-PPA-KA-342|k'wajat ti ts'ejkal al k'apnél
M06-24-003-0013-H-PPA-KA-343|jajá'chik k'wajat ti t'ojnal
M06-24-003-0013-H-PPA-KA-344|an pik'o' k'wajat in k'at'wal an tsakam kwitól
M06-24-003-0013-H-PPA-KA-345|jajá'chik k'wajat ti exóbal al an altá ti mapudh
M06-24-003-0013-H-PPA-KA-346|jajá'chik k'wajat ti exóbal altá an ti mapudh
M06-24-003-0013-H-PPA-KA-347|wawá' k'wajat tu k'wajil ti Laptom tsabál
M06-24-003-0013-H-PPA-KA-348|wawá' u k'wajat tu k'wajil an ti tam Pots'ots'
M06-24-003-0013-H-PPA-KA-349|xaxá'chik k'wajat  ti k'alel ti ádhil ta k'imá'
M06-24-003-0013-H-PPA-KA-350|xaxá'chik ki k'anek  ti ádhil tam kwa'al an tamub
M06-24-003-0013-H-PPA-KA-351| an pá'tux k'wajatak ti uktsi  al an púlik itse'
M06-24-003-0013-H-PPA-KA-352|an kwitólchik k'wajatak ti k'edh máx
M06-24-003-0013-H-PPA-KA-353|an mimlábchik k'wajat tik ti t'akum al an toltom
M06-24-003-0013-H-PPA-KA-354|naná' ne'ets ku punuw an ts'uwa t'ujub
M06-24-003-0013-H-PPA-KA-355|naná' ne'ets ki punuw an t'ujub k'al yán i bet'extaláb
M06-24-003-0013-H-PPA-KA-356|naná' ne'ets ki wik'a' an xok'o'
M06-24-003-0013-H-PPA-KA-357|naná' ne'ets ki wik'a' an xok'o' tsapik
M06-24-003-0013-H-PPA-KA-358|tatá' it k'wadhach k'al an te'
M06-24-003-0013-H-PPA-KA-359|tatá' it k'wadhach lej tsapik k'al an te'
M06-24-003-0013-H-PPA-KA-360|jajá' in ts'ejka' jún pejech al atá 
M06-24-003-0013-H-PPA-KA-361|jajá' in talab pakuw an atá
M06-24-003-0013-H-PPA-KA-362|t'aynek
M06-24-003-0013-H-PPA-KA-363|tek'at
M06-24-003-0013-H-PPA-KA-364|kwadhach
M06-24-003-0013-H-PPA-KA-365|t'akadh
M06-24-003-0013-H-PPA-KA-366|wik'adh
M06-24-003-0013-H-PPA-KA-367|luklidh
M06-24-003-0013-H-PPA-KA-368|tse'edh
M06-24-003-0013-H-PPA-KA-369|kwetsidh
M06-24-003-0013-H-PPA-KA-370|t'indhach
M06-24-003-0013-H-PPA-KA-371|penadh
M06-24-003-0013-H-PPA-KA-372|ts'atat
M06-24-003-0013-H-PPA-KA-373|ats'
M06-24-003-0013-H-PPA-KA-374|witadh
M06-24-003-0013-H-PPA-KA-375|ojowidh
M06-24-003-0013-H-PPA-KA-376|t'ojnal
M06-24-003-0013-H-PPA-KA-377|naná' in t'ojnal
M06-24-003-0013-H-PPA-KA-378|o wa'ats jún u t'ojnal k'al naná'
M06-24-003-0013-H-PPA-KA-379|t'ojonchin an tsabál
M06-24-003-0013-H-PPA-KA-380|t'ajin an t'ojláb
M06-24-003-0013-H-PPA-KA-381|in t'ojnenek lej tsapik
M06-24-003-0013-H-PPA-KA-382|an t'ojláb k'wajat ts'ejkadh
M06-24-003-0013-H-PPA-KA-383|naná' u t'ojonchal an tsabál
M06-24-003-0013-H-PPA-KA-384|an bichowchik in t'ojonchiy an tsabál an tamkudh ka xi max
M06-24-003-0013-H-PPA-KA-385|ka bina'
M06-24-003-0013-H-PPA-KA-386|naná' u pidhál an tumín an ts'ále
M06-24-003-0013-H-PPA-KA-387|pidhan an tumín an ts'ále
M06-24-003-0013-H-PPA-KA-388|u jún in pidha' an tumín k'al an ts'ále abal naná'
M06-24-003-0013-H-PPA-KA-389|an tumín k'ale pidhach an paylóm
M06-24-003-0013-H-PPA-KA-390|ne'etsits ki pidha'
M06-24-003-0013-H-PPA-KA-391|wawá' i binaliy ts'ejwalixtaláb ti yanél an ebchaláb
M06-24-003-0013-H-PPA-KA-392|t'ayál
M06-24-003-0013-H-PPA-KA-393|ne'ets ku t'aya' idhidh
M06-24-003-0013-H-PPA-KA-394|an idhidh t'ayanits 
M06-24-003-0013-H-PPA-KA-395|ma ji t'akiy in tolmi tu t'aya' u idhídhal
M06-24-003-0013-H-PPA-KA-396|an idhidh k'ale t'ayadh exe xi dhajuw
M06-24-003-0013-H-PPA-KA-397|naná' u t'aya'
M06-24-003-0013-H-PPA-KA-398|jita' ichi it tsabál k'al an idhidh ti k'al ti yanél
M06-24-003-0013-H-PPA-KA-399|i paxk'uw
M06-24-003-0013-H-PPA-KA-400|naná' u paxk'uw al an píta'
M06-24-003-0013-H-PPA-KA-401|ki paxk'uw an ja'
M06-24-003-0013-H-PPA-KA-402|yabits u jita' in paxk'uw idhídhal
M06-24-003-0013-H-PPA-KA-403|an idhidh in paxk'iy jún i mimláb
M06-24-003-0013-H-PPA-KA-404|an ja' tek'ets
M06-24-003-0013-H-PPA-KA-405|ajat
M06-24-003-0013-H-PPA-KA-406|naná' u ajatnat i ajatláb k'al u ichích
M06-24-003-0013-H-PPA-KA-407|ajtin al an belkextaláb
M06-24-003-0013-H-PPA-KA-408|wa'atsin jita' ajtin k'al naná' jún i ajatláb
M06-24-003-0013-H-PPA-KA-409|an ajtintaláb k'ale ajtidh kidhat
M06-24-003-0013-H-PPA-KA-410|an tsakam kwitól ajtin
M06-24-003-0013-H-PPA-KA-411|an tsakam kwitólchik in ajtnál i ajtintaláb juntamkudh  jajá'chik
M06-24-003-0013-H-PPA-KA-412|kaw
M06-24-003-0013-H-PPA-KA-413|naná' in kaw tének
M06-24-003-0013-H-PPA-KA-414|an tének in kawnal yán in bichow
M06-24-003-0013-H-PPA-KA-415|wa'atsin jún jita' kawin k'al jún i t'ódh púlik
M06-24-003-0013-H-PPA-KA-416|an t'ilomtaláb k'ale t'iladh
M06-24-003-0013-H-PPA-KA-417|an mimláb kawiy
M06-24-003-0013-H-PPA-KA-418|an kwitólchik kawiy jún ka xi jún
M06-24-003-0013-H-PPA-KA-419|beletna'
M06-24-003-0013-H-PPA-KA-420|naná' u beltnal tsakámil
M06-24-003-0013-H-PPA-KA-421|an pakaxchik u beletnáb ki alwa' k'apnél
M06-24-003-0013-H-PPA-KA-422|wa'atsin jún axin beletna' u tsakámil
M06-24-003-0013-H-PPA-KA-423|an tsakamchik k'ale beletnal patal a k'ichá
M06-24-003-0013-H-PPA-KA-424|an yejtse inik u beletno
M06-24-003-0013-H-PPA-KA-425|an tsakamchik belnexi jún ka xi jún
M06-24-003-0013-H-PPA-KA-426|wa'tsin
M06-24-003-0013-H-PPA-KA-427|tatá' it wa'tsin ti Veracruz
M06-24-003-0013-H-PPA-KA-428|u wa'tsinál yab in kwa'al i toltom
M06-24-003-0013-H-PPA-KA-429|an tsakamchik wa'tsin ts'o'at
M06-24-003-0013-H-PPA-KA-430|té' ti wa'tsinenek exi atá
M06-24-003-0013-H-PPA-KA-431|jajá'chik wa'tsin
M06-24-003-0013-H-PPA-KA-432|k'apul
M06-24-003-0013-H-PPA-KA-433|naná' u k'apal i píta'
M06-24-003-0013-H-PPA-KA-434|tejé' u k'apul ti óx i wakal
M06-24-003-0013-H-PPA-KA-435|abal yab  como yab dhube' k'apchan cha tin kwatsámil
M06-24-003-0013-H-PPA-KA-436|i tala k'apuma' an idhidh
M06-24-003-0013-H-PPA-KA-437|an yejtse inikchik k'aputs
M06-24-003-0013-H-PPA-KA-438|jún wa'atsin  to'ol xu k'apuchik jajá' ani tin yanél
